# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.88938776E+00  -8.51937870E+00   3.70009064E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.51645509E-01   5.84781699E-01  -6.68638096E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      3  -3.48279516E+00  -2.37154153E+00   1.11125362E+00
      4  -5.18498397E+00  -2.68631883E+00   2.49866514E+00
      5  -5.42724080E+00  -4.68233441E+00   7.44906389E-01
      6  -5.72677936E+00  -5.03255465E+00   6.94224708E-01
      7  -6.07233279E+00  -5.68272291E+00   3.89609882E-01
      8  -6.34668694E+00  -6.14073652E+00   2.05950415E-01
      9  -6.57094993E+00  -6.38706073E+00   1.83889196E-01
     10  -6.77351193E+00  -6.53868884E+00   2.34823094E-01
     11  -6.91288197E+00  -6.72239151E+00   1.90490466E-01
     12  -7.06969857E+00  -6.89194411E+00   1.77754458E-01
     13  -7.16172570E+00  -7.03679935E+00   1.24926353E-01
     14  -7.24875844E+00  -7.15835130E+00   9.04071382E-02
     15  -7.32611009E+00  -7.24685076E+00   7.92593341E-02
     16  -7.41985121E+00  -7.33834430E+00   8.15069150E-02
     17  -7.49838412E+00  -7.41150804E+00   8.68760810E-02
     18  -7.56216453E+00  -7.48441910E+00   7.77454302E-02
     19  -7.62213955E+00  -7.55210135E+00   7.00382032E-02
     20  -7.68071692E+00  -7.60333168E+00   7.73852464E-02
     21  -7.72310976E+00  -7.65541932E+00   6.76904363E-02
     22  -7.76918485E+00  -7.70323295E+00   6.59518949E-02
     23  -7.81089940E+00  -7.74537487E+00   6.55245341E-02
     24  -7.83891272E+00  -7.78278416E+00   5.61285589E-02
     25  -7.88541302E+00  -7.82064894E+00   6.47640858E-02
     26  -7.91993225E+00  -7.85091466E+00   6.90175858E-02
     27  -7.94869121E+00  -7.87973273E+00   6.89584740E-02
     28  -7.96943689E+00  -7.90579141E+00   6.36454775E-02
     29  -7.99301492E+00  -7.92861570E+00   6.43992240E-02
     30  -8.01424181E+00  -7.94979341E+00   6.44484029E-02
     31  -8.03236572E+00  -7.97280952E+00   5.95561994E-02
     32  -8.04776973E+00  -7.99182268E+00   5.59470530E-02
     33  -8.06798648E+00  -8.01053684E+00   5.74496373E-02
     34  -8.09022330E+00  -8.02770308E+00   6.25202224E-02
# k =   0.000000   0.250000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.37340007E+00  -7.88458528E+00   4.88814797E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.31618152E-01   4.90711627E-01  -4.09065247E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.68413822E-01  -7.34360023E-01   1.34053799E-01
      2  -1.89824086E+00  -1.32591125E+00   5.72329610E-01
      3  -3.55347988E+00  -2.03118554E+00   1.52229434E+00
      4  -5.10834842E+00  -2.38337527E+00   2.72497315E+00
      5  -5.37992416E+00  -4.31727957E+00   1.06264459E+00
      6  -5.74136712E+00  -5.00877998E+00   7.32587141E-01
      7  -6.03224826E+00  -5.47357982E+00   5.58668439E-01
      8  -6.26660853E+00  -5.74291095E+00   5.23697581E-01
      9  -6.47313688E+00  -5.95541857E+00   5.17718313E-01
     10  -6.65978518E+00  -6.12247910E+00   5.37306075E-01
     11  -6.78730413E+00  -6.30239312E+00   4.84911008E-01
     12  -6.91973932E+00  -6.42048509E+00   4.99254232E-01
