# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.831663327   10.243919019   10.243919580   10.243919170
    5.891783567    8.496610877    8.496611282    8.496610824
    5.951903808    7.466195247    7.466195654    7.466195081
    6.012024048    7.026280871    7.026281220    7.026280648
    6.072144289    7.100977515    7.100977734    7.100977230
    6.132264529    7.004341331    7.004341468    7.004341002
    6.192384770    6.951009361    6.951009477    6.951009018
    6.252505010    6.088632905    6.088632978    6.088632602
    6.312625251    5.031275136    5.031275149    5.031274888
    6.372745491    4.017202254    4.017202240    4.017202066
    6.432865731    3.302226237    3.302226169    3.302226070
    6.492985972    3.167088526    3.167088386    3.167088355
    6.553106212    3.426422718    3.426422552    3.426422559
    6.613226453    4.099247477    4.099247362    4.099247328
    6.673346693    4.786340776    4.786340686    4.786340635
    6.733466934    5.074525648    5.074525527    5.074525473
    6.793587174    5.268984955    5.268984845    5.268984739
    6.853707415    4.957917086    4.957917049    4.957916919
    6.913827655    4.581982545    4.581982509    4.581982419
    6.973947896    4.611927899    4.611927855    4.611927778
    7.034068136    4.765543330    4.765543329    4.765543228
    7.094188377    4.155523255    4.155523297    4.155523169
    7.154308617    3.234749062    3.234749095    3.234748974
    7.214428858    2.526840908    2.526840939    2.526840852
    7.274549098    2.222571380    2.222571429    2.222571369
    7.334669339    1.996536858    1.996536913    1.996536870
    7.394789579    1.713971705    1.713971754    1.713971721
    7.454909820    1.691162481    1.691162541    1.691162511
    7.515030060    1.942360472    1.942360557    1.942360524
    7.575150301    2.259721457    2.259721516    2.259721493
    7.635270541    2.795391450    2.795391432    2.795391444
    7.695390782    3.550388653    3.550388552    3.550388634
    7.755511022    3.920733199    3.920733073    3.920733196
    7.815631263    3.715104237    3.715104149    3.715104241
    7.875751503    3.500568046    3.500568014    3.500568079
    7.935871743    3.531811544    3.531811504    3.531811583
    7.995991984    3.198290475    3.198290408    3.198290485
    8.056112224    2.972086948    2.972086896    2.972086926
    8.116232465    3.109146938    3.109146902    3.109146912
    8.176352705    3.065839689    3.065839620    3.065839663
    8.236472946    2.821609261    2.821609175    2.821609210
    8.296593186    2.484747476    2.484747426    2.484747443
    8.356713427    2.149485412    2.149485397    2.149485416
    8.416833667    1.806026888    1.806026885    1.806026885
    8.476953908    1.734599815    1.734599794    1.734599781
    8.537074148    1.910498462    1.910498419    1.910498389
    8.597194389    2.024299316    2.024299269    2.024299221
    8.657314629    2.178001160    2.178001133    2.178001048
    8.717434870    2.783358997    2.783358985    2.783358847
    8.777555110    3.268622566    3.268622548    3.268622439
    8.837675351    3.062979080    3.062979040    3.062979002
    8.897795591    2.609572046    2.609571994    2.609571980
    8.957915832    2.360178192    2.360178125    2.360178140
    9.018036072    1.943160305    1.943160242    1.943160263
    9.078156313    1.424222839    1.424222800    1.424222816
    9.138276553    1.114230387    1.114230364    1.114230379
    9.198396794    0.954858991    0.954858980    0.954858996
    9.258517034    0.922518829    0.922518829    0.922518845
    9.318637275    0.894366724    0.894366729    0.894366739
    9.378757515    0.883288053    0.883288059    0.883288064
    9.438877756    0.868713487    0.868713494    0.868713509
    9.498997996    0.799195877    0.799195898    0.799195917
    9.559118236    0.843004926    0.843004973    0.843004995
    9.619238477    1.051242042    1.051242130    1.051242164
    9.679358717    1.324709499    1.324709634    1.324709702
    9.739478958    1.475009928    1.475010088    1.475010196
    9.799599198    1.388279157    1.388279260    1.388279362
    9.859719439    1.444131949    1.444131994    1.444132078
    9.919839679    1.660306612    1.660306628    1.660306710
    9.979959920    1.788109719    1.788109717    1.788109804
   10.040080160    1.640397512    1.640397520    1.640397584
   10.100200401    1.362075329    1.362075351    1.362075389
   10.160320641    1.310264682    1.310264706    1.310264735
   10.220440882    1.522643861    1.522643883    1.522643912
   10.280561122    1.655760767    1.655760771    1.655760791
   10.340681363    1.524589274    1.524589277    1.524589260
   10.400801603    1.237729143    1.237729147    1.237729127
   10.460921844    1.053300263    1.053300250    1.053300256
   10.521042084    0.940130047    0.940130029    0.940130046
   10.581162325    0.776217015    0.776217012    0.776217014
   10.641282565    0.729860511    0.729860525    0.729860508
   10.701402806    0.811256277    0.811256306    0.811256274
   10.761523046    0.891073852    0.891073885    0.891073852
   10.821643287    1.008777213    1.008777236    1.008777197
   10.881763527    1.206124773    1.206124758    1.206124705
   10.941883768    1.301332431    1.301332347    1.301332278
   11.002004008    1.265053475    1.265053404    1.265053283
   11.062124248    1.126895205    1.126895208    1.126895044
   11.122244489    0.924702605    0.924702620    0.924702497
   11.182364729    0.810030532    0.810030546    0.810030474
   11.242484970    0.825644679    0.825644698    0.825644654
   11.302605210    0.799643325    0.799643344    0.799643314
   11.362725451    0.719357299    0.719357314    0.719357303
   11.422845691    0.636089369    0.636089376    0.636089384
   11.482965932    0.595822057    0.595822044    0.595822072
   11.543086172    0.651921906    0.651921862    0.651921915
   11.603206413    0.706831608    0.706831534    0.706831620
   11.663326653    0.602557711    0.602557659    0.602557734
   11.723446894    0.481271667    0.481271654    0.481271693
   11.783567134    0.423129793    0.423129799    0.423129817
   11.843687375    0.336434550    0.336434555    0.336434565
   11.903807615    0.265961200    0.265961200    0.265961206
   11.963927856    0.236838271    0.236838269    0.236838273
   12.024048096    0.238754882    0.238754877    0.238754880
   12.084168337    0.266467590    0.266467583    0.266467580
   12.144288577    0.321144747    0.321144739    0.321144732
   12.204408818    0.395534439    0.395534429    0.395534430
   12.264529058    0.474456873    0.474456858    0.474456873
